company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner,source_file
REVVITY,,b8f3d1bfdb64e1ff,,Kennesaw,GA,,US,biopharmguy_cmos,https://www.revvity.com/,,,,,,,,biopharmguy_cmos_standardized.csv
PHARMA TECH INDUSTRIES,,15682024751f3e26,,Royston,GA,,US,biopharmguy_cmos,https://pharma-tech.com/,,,,,,,,biopharmguy_cmos_standardized.csv
PHARMA TECH INDUSTRIES,,15682024751f3e26,,Royston,GA,,US,biopharmguy_cmos,https://pharma-tech.com/,,,,,,,,biopharmguy_cmos_standardized.csv
DENDREON,,c1f15f8dc8f31293,,Union City,GA,,US,biopharmguy_cmos,https://www.dendreon.com/,,,,,,,,biopharmguy_cmos_standardized.csv
CAMBREX,,466fb8fbfa672e00,,Charles City,IA,,US,biopharmguy_cmos,https://www.cambrex.com/,,,,,,,,biopharmguy_cmos_standardized.csv
CONTINENTAL MANUFACTURING CHEMIST,,573967389fc151ee,,Madrid,IA,,US,biopharmguy_cmos,https://www.continentalmfgchemist.com/,,,,,,,,biopharmguy_cmos_standardized.csv
VECTORBUILDER,,2751220aa8bde008,,Chicago,IL,,US,biopharmguy_cmos,https://en.vectorbuilder.com/,,,,,,,,biopharmguy_cmos_standardized.csv
BAXTER,,82d0a8dc03d9291c,,Deerfield,IL,,US,biopharmguy_cmos,https://www.baxter.com/,,,,,,,,biopharmguy_cmos_standardized.csv
SCHLEIFRING MEDICAL SYSTEMS,,294dffda3d9c3d06,,Elgin,IL,,US,biopharmguy_cmos,https://www.schleifringmedical.com/,,,,,,,,biopharmguy_cmos_standardized.csv
TRICOR SYSTEMS,,2c32f881403795af,,Elgin,IL,,US,biopharmguy_cmos,https://tricor-systems.com/,,,,,,,,biopharmguy_cmos_standardized.csv
BIOLOGOS,,501664b627222ec1,,Glendale Heights,IL,,US,biopharmguy_cmos,https://biologos.com/,,,,,,,,biopharmguy_cmos_standardized.csv
ACCUMEDIX,,67aa29659b1c0c89,,Libertyville,IL,,US,biopharmguy_cmos,https://www.accumedix.com/,,,,,,,,biopharmguy_cmos_standardized.csv
FRESENIUS KABI,,aeb3679664a2b30a,,Melrose Park,IL,,US,biopharmguy_cmos,https://www.fresenius-kabi.com/,,,,,,,,biopharmguy_cmos_standardized.csv
REGIS CHROMATOGRAPHY,,3c84aff51dd3d834,,Morton Grove,IL,,US,biopharmguy_cmos,https://www.registech.com/,,,,,,,,biopharmguy_cmos_standardized.csv
